com.samsung.health.floors_climbed,6293007,6
start_time,custom,update_time,create_time,floor,raw_data,time_offset,deviceuuid,pkg_name,end_time,datauuid
2025-02-18 14:50:01.000,,1991-02-12 07:51:53.000,2025-02-18 18:01:42.000,7.08,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 18:01:42.000,63373234-665f-3230-3731-303939333731,
2025-02-18 14:50:01.000,,1991-02-12 07:51:53.000,2025-02-18 18:03:26.000,7.08,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 18:03:26.000,65303434-665f-3630-3831-303939333731,
2025-02-18 14:50:01.000,,1991-02-12 07:51:53.000,2025-02-18 18:04:27.000,7.08,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 18:04:27.000,64663434-665f-3736-3831-303939333731,
2025-02-18 14:50:01.000,,1991-02-12 07:51:53.000,2025-02-18 18:05:15.000,7.08,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 18:05:15.000,37623534-665f-3531-3931-303939333731,
2025-02-18 14:50:01.000,,1991-02-12 07:51:53.000,2025-02-18 18:08:20.000,7.08,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 18:08:20.000,38383834-665f-3030-3132-303939333731,
2025-02-18 14:50:01.000,,1991-02-12 07:51:53.000,2025-02-18 18:09:36.000,7.08,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 18:09:36.000,63613934-665f-3637-3132-303939333731,
2025-02-18 14:50:01.000,,1991-02-12 07:51:53.000,2025-02-18 18:13:28.000,7.08,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 18:13:28.000,36336434-665f-3830-3432-303939333731,
2025-02-18 14:50:01.000,,1991-02-12 07:51:53.000,2025-02-18 18:20:19.000,7.08,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 18:20:19.000,62373335-665f-3931-3832-303939333731,
2025-02-18 14:50:01.000,,1991-02-12 07:51:53.000,2025-02-18 18:22:28.000,7.08,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 18:22:28.000,32373535-665f-3834-3932-303939333731,
2025-02-18 14:50:01.000,,1991-02-12 07:51:53.000,2025-02-18 18:22:41.000,7.08,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 18:22:41.000,35613535-665f-3136-3932-303939333731,
2025-02-18 14:50:01.000,,1991-02-12 07:51:53.000,2025-02-18 18:50:34.000,7.08,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 18:50:34.000,38316636-665f-3433-3634-303939333731,
2025-02-18 14:50:01.000,,1991-02-12 07:51:53.000,2025-02-18 18:52:10.000,7.08,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 18:52:10.000,65383037-665f-3033-3734-303939333731,
2025-02-18 14:50:01.000,,1991-02-12 07:51:53.000,2025-02-18 19:04:48.000,7.08,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 19:04:48.000,66306337-665f-3838-3435-303939333731,
2025-02-18 14:50:01.000,,1991-02-12 07:51:53.000,2025-02-18 19:08:43.000,7.08,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 19:08:43.000,30616637-665f-3332-3735-303939333731,
2025-02-18 14:50:01.000,,1991-02-12 07:51:53.000,2025-02-18 19:10:23.000,7.08,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 19:10:23.000,38323138-665f-3332-3835-303939333731,
2025-02-18 14:50:01.000,,1991-02-12 07:51:53.000,2025-02-18 19:23:09.000,7.08,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 19:23:09.000,33646338-665f-3938-3536-303939333731,
2025-02-18 14:50:01.000,,1991-02-12 07:51:53.000,2025-02-18 19:29:13.000,7.08,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 19:29:13.000,63353239-665f-3335-3936-303939333731,
2025-02-18 14:50:01.000,,1991-02-12 07:51:53.000,2025-02-18 19:56:06.000,7.08,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 19:56:06.000,65656161-665f-3636-3538-303939333731,
2025-02-18 14:50:01.000,,1991-02-12 07:51:53.000,2025-02-18 19:58:07.000,7.08,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 19:58:07.000,33636361-665f-3738-3638-303939333731,
2025-02-18 14:50:01.000,,1991-02-12 07:51:53.000,2025-02-18 19:59:18.000,7.08,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 19:59:18.000,39646461-665f-3835-3738-303939333731,
2025-02-18 14:50:01.000,,1991-02-12 07:51:53.000,2025-02-18 20:00:46.000,7.08,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 20:00:46.000,31336661-665f-3634-3838-303939333731,
2025-02-18 14:50:01.000,,1991-02-12 07:51:53.000,2025-02-18 20:10:41.000,7.08,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 20:10:41.000,38333862-665f-3134-3439-303939333731,
2025-02-18 14:50:01.000,,1991-02-12 07:51:53.000,2025-02-18 20:29:09.000,7.08,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 20:29:09.000,66313963-665f-3934-3530-313939333731,
2025-02-18 14:50:01.000,,1991-02-12 07:51:53.000,2025-02-18 20:54:19.000,7.08,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 20:54:19.000,33323065-665f-3935-3032-313939333731,
2025-02-18 14:50:01.000,,1991-02-12 07:51:53.000,2025-02-18 21:08:18.000,7.08,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 21:08:18.000,63656365-665f-3839-3832-313939333731,
2025-02-18 14:50:01.000,,1991-02-12 07:51:53.000,2025-02-18 21:11:31.000,7.08,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 21:11:31.000,61646665-665f-3139-3033-313939333731,
2025-02-18 14:50:01.000,,1991-02-12 07:51:53.000,2025-02-18 21:12:29.000,7.08,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 21:12:29.000,63623066-665f-3934-3133-313939333731,
2025-02-18 14:50:01.000,,1991-02-12 07:51:53.000,2025-02-18 21:14:04.000,7.08,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 21:14:04.000,65323266-665f-3434-3233-313939333731,
2025-02-18 14:50:01.000,,1991-02-12 07:51:53.000,2025-02-18 21:14:28.000,7.08,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 21:14:28.000,62383266-665f-3836-3233-313939333731,
2025-02-18 14:50:01.000,,1991-02-12 07:51:53.000,2025-02-18 21:20:42.000,7.08,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 21:20:42.000,61333866-665f-3234-3633-313939333731,
2025-02-18 14:50:01.000,,1991-02-12 07:51:53.000,2025-02-18 21:31:34.000,7.08,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 21:31:34.000,32323030-315f-3439-3234-313939333731,
2025-02-18 14:50:01.000,,1991-02-12 07:51:53.000,2025-02-18 21:32:07.000,7.08,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 21:32:07.000,61323030-315f-3732-3334-313939333731,
2025-02-18 14:50:01.000,,1991-02-12 07:51:53.000,2025-02-18 21:34:06.000,7.08,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 21:34:06.000,37343030-315f-3634-3434-313939333731,
2025-02-18 14:50:01.000,,1991-02-12 07:51:53.000,2025-02-18 21:36:02.000,7.08,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 21:36:02.000,33363030-315f-3236-3534-313939333731,
2025-02-18 14:50:01.000,,1991-02-12 07:51:53.000,2025-02-18 21:40:38.000,7.08,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 21:40:38.000,36613030-315f-3833-3834-313939333731,
2025-02-18 14:50:01.000,,1991-02-12 07:51:53.000,2025-02-18 21:43:11.000,7.08,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 21:43:11.000,62633030-315f-3139-3934-313939333731,
