,step_count,distance_covered,speed,calories_burned,start_time_interval,end_time_interval,time_offset,test_subject,location
150,47.0,36.59961,2.1959765,1.6586304,2025-02-19 15:48:00,2025-02-19 15:49:00,UTC+0100,2,Eindhoven
151,23.0,17.25,1.035,0.8206177,2025-02-19 15:49:00,2025-02-19 15:50:00,UTC+0100,2,Eindhoven
152,11.0,7.451172,0.4470703,0.4628296,2025-02-19 15:50:00,2025-02-19 15:51:00,UTC+0100,2,Eindhoven
153,62.0,48.898438,2.9339063,2.189209,2025-02-19 15:52:00,2025-02-19 15:53:00,UTC+0100,2,Eindhoven
154,10.0,6.8945312,0.41367188,0.3737793,2025-02-19 15:53:00,2025-02-19 15:54:00,UTC+0100,2,Eindhoven
155,7.0,5.23,1.1388888,0.23,2025-02-19 15:46:00,2025-02-19 15:47:00,UTC+0100,2,Eindhoven
156,33.0,24.9,1.4166666,1.04,2025-02-19 15:47:00,2025-02-19 15:48:00,UTC+0100,2,Eindhoven
157,48.0,36.28,1.3333334,1.48,2025-02-19 15:48:00,2025-02-19 15:49:00,UTC+0100,2,Eindhoven
158,9.0,6.89,1.3611112,0.29,2025-02-19 15:49:00,2025-02-19 15:50:00,UTC+0100,2,Eindhoven
159,51.0,39.04,1.4444444,1.57,2025-02-19 15:52:00,2025-02-19 15:53:00,UTC+0100,2,Eindhoven
160,28.0,20.95,1.3611112,0.9,2025-02-19 15:53:00,2025-02-19 15:54:00,UTC+0100,2,Eindhoven
161,7.0,5.05,1.0555555,0.23,2025-02-19 15:54:00,2025-02-19 15:55:00,UTC+0100,2,Eindhoven
162,38.0,30.564453,1.8338672,1.5796509,2025-02-19 15:56:00,2025-02-19 15:57:00,UTC+0100,2,Eindhoven
163,11.0,8.21875,0.493125,0.35809326,2025-02-19 15:59:00,2025-02-19 16:00:00,UTC+0100,2,Eindhoven
164,51.0,39.972656,2.3983593,1.7733765,2025-02-19 16:00:00,2025-02-19 16:01:00,UTC+0100,2,Eindhoven
165,21.0,17.173828,1.0304297,0.7423706,2025-02-19 16:01:00,2025-02-19 16:02:00,UTC+0100,2,Eindhoven
166,17.0,12.56,1.1666666,0.55,2025-02-19 15:57:00,2025-02-19 15:58:00,UTC+0100,2,Eindhoven
167,7.0,5.23,1.3888888,0.23,2025-02-19 15:58:00,2025-02-19 15:59:00,UTC+0100,2,Eindhoven
168,17.0,12.98,1.4166666,0.53,2025-02-19 15:59:00,2025-02-19 16:00:00,UTC+0100,2,Eindhoven
169,52.0,39.78,1.4444444,1.61,2025-02-19 16:00:00,2025-02-19 16:01:00,UTC+0100,2,Eindhoven
170,17.0,12.16,1.0,0.56,2025-02-19 16:01:00,2025-02-19 16:02:00,UTC+0100,2,Eindhoven
