,step_count,distance_covered,speed,calories_burned,start_time_interval,end_time_interval,time_offset,test_subject,location
4643,20.0,14.85,1.2222222,0.72,2025:02:22 11:38:00,2025:02:22 11:39:00,UTC+0100,2,Eindhoven
4631,23.0,16.324219,0.97945315,0.81188965,2025:02:22 11:39:00,2025:02:22 11:40:00,UTC+0100,2,Eindhoven
4644,70.0,52.93,1.3611112,2.61,2025:02:22 11:39:00,2025:02:22 11:40:00,UTC+0100,2,Eindhoven
4632,56.0,43.335938,2.6001563,1.9599609,2025:02:22 11:40:00,2025:02:22 11:41:00,UTC+0100,2,Eindhoven
4645,93.0,71.17,1.4444444,3.26,2025:02:22 11:40:00,2025:02:22 11:41:00,UTC+0100,2,Eindhoven
4646,7.0,5.17,1.1944444,0.25,2025:02:22 11:41:00,2025:02:22 11:42:00,UTC+0100,2,Eindhoven
4633,31.0,22.496094,1.3497657,1.0704346,2025:02:22 11:42:00,2025:02:22 11:43:00,UTC+0100,2,Eindhoven
4647,89.0,67.21,1.3333334,3.4,2025:02:22 11:42:00,2025:02:22 11:43:00,UTC+0100,2,Eindhoven
4634,18.0,14.3984375,0.86390626,0.59558105,2025:02:22 11:43:00,2025:02:22 11:44:00,UTC+0100,2,Eindhoven
4648,21.0,15.82,1.3611112,0.75,2025:02:22 11:43:00,2025:02:22 11:44:00,UTC+0100,2,Eindhoven
4635,49.0,37.484375,2.2490625,1.7467041,2025:02:22 11:44:00,2025:02:22 11:45:00,UTC+0100,2,Eindhoven
4649,89.0,66.47,1.2777778,3.48,2025:02:22 11:44:00,2025:02:22 11:45:00,UTC+0100,2,Eindhoven
4636,13.0,9.886719,0.5932031,0.4387207,2025:02:22 11:45:00,2025:02:22 11:46:00,UTC+0100,2,Eindhoven
4650,8.0,5.8,1.1944444,0.29,2025:02:22 11:45:00,2025:02:22 11:46:00,UTC+0100,2,Eindhoven
4637,26.0,21.296875,1.2778125,0.859375,2025:02:22 11:46:00,2025:02:22 11:47:00,UTC+0100,2,Eindhoven
4651,55.0,41.23,1.3055556,2.09,2025:02:22 11:46:00,2025:02:22 11:47:00,UTC+0100,2,Eindhoven
4638,14.0,10.683594,0.64101565,0.477417,2025:02:22 11:47:00,2025:02:22 11:48:00,UTC+0100,2,Eindhoven
4652,58.0,43.6,1.3611112,2.04,2025:02:22 11:47:00,2025:02:22 11:48:00,UTC+0100,2,Eindhoven
